Latitude,Longitude,Date,Region,total cases
34.841988,71.49765,"Oct 30, 2006",Bajaur,82
32.622604,69.852448,"Jun 23, 2009",South Waziristan,80
32.98793,69.763184,"Mar 17, 2011",North Waziristan,45
32.52771,69.863434,"Jul 8, 2009",South Waziristan,40
32.991386,70.291901,"Jun 19, 2007",North Waziristan,34
33.091541,70.274734,"Apr 22, 2011",North Waziristan,29
32.844982,69.56543,"Jan 16, 2007",South Waziristan,30
33.005211,70.272675,"May 16, 2009",North Waziristan,40
32.520184,69.868927,"Feb 14, 2009",South Waziristan,30
33.683212,70.290527,"Feb 16, 2009",Kurram,31
33.01442,70.085907,"Sep 8, 2008",North Waziristan,25
33.620338,70.750351,"Oct 11, 2012",Orakzai,26
32.285973,69.988403,"Jul 3, 2009",South Waziristan,35
32.346901,69.498138,"Jun 6, 2011",South Waziristan,23
33.002907,70.094147,"Aug 10, 2011",North Waziristan,23
32.552601,69.609375,"Oct 26, 2008",South Waziristan,20
34.818878,71.500397,"Oct 24, 2009",Khyber Pakhtunkhwa,24
33.795128,70.768433,"Dec 17, 2010",Khyber,32
32.957977,70.379791,"Dec 27, 2010",North Waziristan,21
32.932625,69.623108,"Jun 8, 2011",North Waziristan,23
33.106499,70.053635,"Nov 16, 2010",North Waziristan,20
33.808819,70.279541,"Mar 12, 2009",Kurram,24
33.05949283,69.9176788,"Jul 16, 2014",North Waziristan,20
32.45068,69.277039,"Jul 24, 2010",South Waziristan,18
32.3914,70.1126,"Nov 16, 2011",South Waziristan,22
33.00538611,70.07612225,"Jul 2, 2013",North Waziristan,18
33.003483,70.031662,"Aug 21, 2009",North Waziristan,21
32.989082,69.693146,"Dec 17, 2009",North Waziristan,18
32.997147,69.616241,"Mar 10, 2010",North Waziristan,21
32.708733,69.559937,"Jun 27, 2011",South Waziristan,21
32.659031,70.150452,"Jan 17, 2010",South Waziristan,20
32.9052,69.7488,"Jul 11, 2011",North Waziristan,25
32.983898,69.75769,"Jan 6, 2010",North Waziristan,25
33.018452,70.098953,"Sep 3, 2010",North Waziristan,25
32.906975,69.758377,"Jul 6, 2012",North Waziristan,21
34.809856,71.531296,"May 14, 2008",Bajaur,16
32.998299,69.723358,"Oct 3, 2008",North Waziristan,21
32.669147,70.156975,"Jan 14, 2010",North Waziristan,18
32.479645,70.018616,"May 9, 2009",South Waziristan,20
32.623184,69.841461,"Jul 7, 2009",South Waziristan,16
32.995995,69.704819,"May 11, 2010",North Waziristan,14
32.316151,69.462433,"Mar 16, 2008",South Waziristan,20
32.751476,70.072174,"Nov 7, 2008",North Waziristan,14
32.981022,70.293274,"Jun 19, 2010",North Waziristan,16
33.028816,70.046082,"Aug 23, 2010",North Waziristan,20
34.801682,71.472588,"Jan 6, 2006",Bajaur,18
33.672928,70.911255,"Apr 1, 2009",Orakzai,14
32.984474,69.715805,"Apr 4, 2009",North Waziristan,15
32.990234,70.31868,"Aug 14, 2010",North Waziristan,14
33.756313,70.7547,"Dec 17, 2010",Khyber,15
33.1344,70.4512,"Oct 26, 2011",North Waziristan,13
33.02613758,69.94514462,"Jul 19, 2014",North Waziristan,15
32.99398,70.237999,"Jan 29, 2008",North Waziristan,13
33.02018,70.029602,"Sep 15, 2010",North Waziristan,14
32.658455,70.179977,"Jan 6, 2013",South Waziristan,17
33.004059,70.074921,"Sep 12, 2008",North Waziristan,12
32.707577,69.873047,"Nov 14, 2008",North Waziristan,13
32.524239,69.794769,"Aug 11, 2009",South Waziristan,14
33.6920485,70.0474217,"Oct 16, 2017",Kurram Agency,20
32.9767,70.269241,"Oct 31, 2008",North Waziristan,15
33.012695,69.761124,"May 6, 2011",North Waziristan,18
32.6138,69.5082,"Jul 12, 2011",North Waziristan,15
32.715954,69.610062,"Jul 23, 2012",North Waziristan,14
33.017876,70.254822,"Feb 16, 2012",North Waziristan,15
32.308025,69.409561,"Feb 28, 2008",South Waziristan,13
32.311508,69.320984,"Aug 12, 2008",South Waziristan,12
32.989082,69.716492,"May 21, 2010",North Waziristan,12
32.995419,69.77211,"Jul 15, 2010",North Waziristan,14
32.79882,69.507751,"Mar 9, 2012",South Waziristan,13
32.97411,70.279541,"Jun 4, 2012",North Waziristan,15
32.270878,69.589462,"Jan 23, 2009",South Waziristan,10
33.001755,69.713058,"Jan 29, 2010",North Waziristan,15
33.881817,70.85907,"May 15, 2010",Khyber,15
32.292938,69.304504,"May 28, 2010",South Waziristan,12
33.027664,70.017242,"Sep 8, 2010",North Waziristan,10
33.016724,69.906006,"Dec 28, 2010",North Waziristan,10
33.527657,70.285034,"Jun 20, 2011",Kurram,13
32.99736246,70.07629391,"Jun 12, 2014",North Waziristan,10
32.29874,69.54071,"Oct 31, 2008",South Waziristan,12
32.9538,70.262459,"Jan 23, 2009",North Waziristan,10
32.49065,70.004883,"Mar 1, 2009",South Waziristan,12
33.046082,70.019989,"Sep 8, 2009",North Waziristan,10
32.991386,69.742584,"Mar 16, 2010",North Waziristan,11
33.021908,69.656754,"Sep 14, 2010",North Waziristan,12
33.052414,70.19165,"Feb 8, 2012",North Waziristan,10
32.298161,69.349136,"May 12, 2009",South Waziristan,10
32.821903,69.979477,"Dec 17, 2009",North Waziristan,14
33.042629,70.061188,"Feb 24, 2010",North Waziristan,14
33.024784,69.823608,"Apr 12, 2010",North Waziristan,13
32.66597,70.161438,"Jul 25, 2010",South Waziristan,14
32.6238,69.4968,"Jul 12, 2011",South Waziristan,13
32.963451,70.31044,"Aug 22, 2011",North Waziristan,11
32.884201,69.598389,"May 5, 2012",North Waziristan,10
33.1440818,70.0212442,"Apr 26, 2017",North Waziristan,11
33.046658,69.539337,"Sep 5, 2008",North Waziristan,12
33.07716,70.069427,"Dec 26, 2009",North Waziristan,14
32.963161,70.241776,"Feb 14, 2010",North Waziristan,9
32.994267,69.558563,"May 11, 2010",North Waziristan,10
32.997147,69.656754,"Jun 11, 2010",North Waziristan,9
33.070827,69.701385,"Sep 20, 2010",North Waziristan,9
32.990234,69.631348,"Oct 2, 2010",North Waziristan,9
32.981022,70.256882,"Oct 4, 2010",North Waziristan,12
33.05817,70.080414,"Nov 7, 2010",North Waziristan,9
32.168636,69.576416,"Jun 3, 2011",South Waziristan,12
32.713356,69.608688,"Aug 18, 2012",North Waziristan,12
32.49007,69.320297,"Jan 2, 2013",South Waziristan,11
33.010391,70.043335,"Nov 5, 2005",North Waziristan,8
32.52771,69.855881,"Jul 8, 2009",South Waziristan,10
33.002331,70.290527,"Nov 20, 2009",North Waziristan,8
32.997147,69.672546,"May 9, 2010",North Waziristan,10
32.234295,69.530411,"Jun 29, 2010",South Waziristan,10
32.98793,69.640961,"Oct 2, 2010",North Waziristan,10
33.02824,70.239716,"Jan 1, 2011",North Waziristan,9
32.65065,70.185471,"Feb 8, 2013",South Waziristan,9
32.09064163,69.45831295,"Oct 6, 2014",North Waziristan,8
33.00005289,69.92935177,"Dec 26, 2014",North Waziristan,9
32.6169196,69.4999301,"Jun 6, 2015",North Waziristan,9
32.301064,69.598389,"Aug 20, 2008",South Waziristan,10
32.994843,70.167618,"Oct 9, 2008",North Waziristan,9
